Trade at 2018-04-19 23:30:00 with price 8252.03 and signal 1, total assets : 0.12118230302119598, trade_pnl : 0, net_pnl : 0
Trade at 2018-11-27 14:00:00 with price 3763.43 and signal 1, total assets : 0.2657150524920086, trade_pnl : 0, net_pnl : -85.62855478057327
Trade at 2018-11-27 15:00:00 with price 3777.18 and signal -1, total assets : 0, trade_pnl : 3.653581971764993, net_pnl : -81.97497280880827
Trade at 2018-11-27 15:30:00 with price 3809.97 and signal -1, total assets : -0.262469258288123, trade_pnl : 0, net_pnl : -81.97497280880827
Trade at 2018-11-28 08:00:00 with price 3896.37 and signal 1, total assets : 0, trade_pnl : -22.677343916093832, net_pnl : -104.65231672490211
Trade at 2018-11-28 08:30:00 with price 3902.78 and signal -1, total assets : -0.25622761211239165, trade_pnl : 0, net_pnl : -104.65231672490211
Trade at 2018-11-28 12:30:00 with price 4082.38 and signal 1, total assets : 0, trade_pnl : -46.018479135385405, net_pnl : -150.6707958602875
Trade at 2018-11-28 13:00:00 with price 4106.8 and signal -1, total assets : -0.24349858770819127, trade_pnl : 0, net_pnl : -150.6707958602875
Trade at 2018-11-28 13:30:00 with price 4067.45 and signal 1, total assets : 0, trade_pnl : 9.58166942631749, net_pnl : -141.08912643397002
Trade at 2018-11-28 14:00:00 with price 4034.99 and signal 1, total assets : 0.24783208880319407, trade_pnl : 0, net_pnl : -141.08912643397002
Trade at 2018-11-28 14:30:00 with price 4047.76 and signal -1, total assets : 0, trade_pnl : 3.1648157740169154, net_pnl : -137.9243106599531
Trade at 2018-11-28 15:00:00 with price 4054.83 and signal 1, total assets : 0.24661946370131424, trade_pnl : 0, net_pnl : -137.9243106599531
Trade at 2018-11-28 16:00:00 with price 4096.27 and signal -1, total assets : 0, trade_pnl : 10.219910575782592, net_pnl : -127.70440008417052
Trade at 2018-11-28 16:30:00 with price 4065.9 and signal -1, total assets : -0.24594800659140656, trade_pnl : 0, net_pnl : -127.70440008417052
Trade at 2018-11-28 20:30:00 with price 4223.0 and signal 1, total assets : 0, trade_pnl : -38.63843183550989, net_pnl : -166.3428319196804
Trade at 2018-11-28 21:00:00 with price 4249.82 and signal -1, total assets : -0.2353040834670645, trade_pnl : 0, net_pnl : -166.3428319196804
Trade at 2018-11-28 21:30:00 with price 4207.05 and signal 1, total assets : 0, trade_pnl : 10.063955649886225, net_pnl : -156.27887626979418
Trade at 2018-11-28 22:00:00 with price 4197.09 and signal 1, total assets : 0.23826031845874165, trade_pnl : 0, net_pnl : -156.27887626979418
Trade at 2018-11-28 23:00:00 with price 4259.59 and signal -1, total assets : 0, trade_pnl : 14.8912699036714, net_pnl : -141.38760636612278
Trade at 2018-11-28 23:30:00 with price 4274.37 and signal 1, total assets : 0.23395260588110062, trade_pnl : 0, net_pnl : -141.38760636612278
Trade at 2018-11-29 00:00:00 with price 4301.0 and signal -1, total assets : 0, trade_pnl : 6.23015789461374, net_pnl : -135.15744847150904
Trade at 2018-11-29 00:30:00 with price 4360.66 and signal -1, total assets : -0.22932308412029373, trade_pnl : 0, net_pnl : -135.15744847150904
Trade at 2018-11-29 02:30:00 with price 4302.25 and signal 1, total assets : 0, trade_pnl : 13.394761343466257, net_pnl : -121.76268712804278
Trade at 2018-11-29 03:00:00 with price 4243.57 and signal 1, total assets : 0.23565064320843065, trade_pnl : 0, net_pnl : -121.76268712804278
Trade at 2018-11-29 06:00:00 with price 4270.0 and signal -1, total assets : 0, trade_pnl : 6.2282464999989315, net_pnl : -115.53444062804385
Trade at 2018-11-29 06:30:00 with price 4205.7 and signal 1, total assets : 0.23777254678174858, trade_pnl : 0, net_pnl : -115.53444062804385
Trade at 2018-11-29 08:00:00 with price 4203.13 and signal -1, total assets : 0, trade_pnl : -0.6110754452290621, net_pnl : -116.14551607327292
Trade at 2018-11-29 08:30:00 with price 4177.66 and signal 1, total assets : 0.2393684502807792, trade_pnl : 0, net_pnl : -116.14551607327292
Trade at 2018-11-29 09:00:00 with price 4163.7 and signal -1, total assets : 0, trade_pnl : -3.341583565919791, net_pnl : -119.4870996391927
Trade at 2018-11-29 09:30:00 with price 4187.52 and signal -1, total assets : -0.23880482958887359, trade_pnl : 0, net_pnl : -119.4870996391927
Trade at 2018-11-29 17:00:00 with price 4386.34 and signal 1, total assets : 0, trade_pnl : -47.47917621885972, net_pnl : -166.96627585805243
Trade at 2018-11-29 17:30:00 with price 4375.73 and signal 1, total assets : 0.22853329615858384, trade_pnl : 0, net_pnl : -166.96627585805243
Trade at 2018-11-29 21:30:00 with price 4314.02 and signal -1, total assets : 0, trade_pnl : -14.102789705946066, net_pnl : -181.0690655639985
Trade at 2018-11-29 22:00:00 with price 4338.74 and signal -1, total assets : -0.2304816605742681, trade_pnl : 0, net_pnl : -181.0690655639985
Trade at 2018-11-29 23:00:00 with price 4316.8 and signal 1, total assets : 0, trade_pnl : 5.056767632999367, net_pnl : -176.01229793099913
Trade at 2018-11-29 23:30:00 with price 4336.13 and signal -1, total assets : -0.23062039191629402, trade_pnl : 0, net_pnl : -176.01229793099913
Trade at 2018-11-30 00:00:00 with price 4271.96 and signal 1, total assets : 0, trade_pnl : 14.798910549268612, net_pnl : -161.2133873817305
Trade at 2018-11-30 00:30:00 with price 4219.93 and signal 1, total assets : 0.23697075543907126, trade_pnl : 0, net_pnl : -161.2133873817305
Trade at 2018-11-30 03:00:00 with price 4235.65 and signal -1, total assets : 0, trade_pnl : 3.7251802755021117, net_pnl : -157.4882071062284
Trade at 2018-11-30 03:30:00 with price 4262.59 and signal -1, total assets : -0.2345991521586641, trade_pnl : 0, net_pnl : -157.4882071062284
Trade at 2018-11-30 06:30:00 with price 4230.07 and signal 1, total assets : 0, trade_pnl : 7.629164428199829, net_pnl : -149.85904267802857
Trade at 2018-11-30 07:00:00 with price 4246.43 and signal 1, total assets : 0.23549193086898876, trade_pnl : 0, net_pnl : -149.85904267802857
Trade at 2018-11-30 08:00:00 with price 4311.68 and signal -1, total assets : 0, trade_pnl : 15.36584848920154, net_pnl : -134.49319418882703
Trade at 2018-11-30 08:30:00 with price 4280.35 and signal -1, total assets : -0.23362575490322052, trade_pnl : 0, net_pnl : -134.49319418882703
Trade at 2018-11-30 10:30:00 with price 4303.2 and signal 1, total assets : 0, trade_pnl : -5.338348499538483, net_pnl : -139.83154268836552
Trade at 2018-11-30 11:00:00 with price 4302.91 and signal -1, total assets : -0.23240086360160916, trade_pnl : 0, net_pnl : -139.83154268836552
Trade at 2018-11-30 12:00:00 with price 4270.0 and signal 1, total assets : 0, trade_pnl : 7.648312421128821, net_pnl : -132.1832302672367
Trade at 2018-11-30 12:30:00 with price 4221.2 and signal 1, total assets : 0.2368994598692315, trade_pnl : 0, net_pnl : -132.1832302672367
Trade at 2018-11-30 14:30:00 with price 4244.05 and signal -1, total assets : 0, trade_pnl : 5.413152658011995, net_pnl : -126.7700776092247
Trade at 2018-11-30 15:00:00 with price 4225.14 and signal -1, total assets : -0.23667854792977272, trade_pnl : 0, net_pnl : -126.7700776092247
Trade at 2018-11-30 15:30:00 with price 4113.14 and signal 1, total assets : 0, trade_pnl : 26.50799736813451, net_pnl : -100.26208024109019
Trade at 2018-11-30 16:00:00 with price 4077.21 and signal 1, total assets : 0.2452657577117686, trade_pnl : 0, net_pnl : -100.26208024109019
Trade at 2018-11-30 18:00:00 with price 4025.99 and signal -1, total assets : 0, trade_pnl : -12.562512109996874, net_pnl : -112.82459235108706
Trade at 2018-11-30 18:30:00 with price 4036.53 and signal -1, total assets : -0.2477375369438602, trade_pnl : 0, net_pnl : -112.82459235108706
Trade at 2018-12-01 01:00:00 with price 4036.34 and signal 1, total assets : 0, trade_pnl : 0.04707013201925747, net_pnl : -112.7775222190678
Trade at 2018-12-01 01:30:00 with price 4037.68 and signal 1, total assets : 0.24766697707594462, trade_pnl : 0, net_pnl : -112.7775222190678
Trade at 2018-12-01 02:30:00 with price 4026.0 and signal -1, total assets : 0, trade_pnl : -2.892750292247001, net_pnl : -115.6702725113148
Trade at 2018-12-01 03:00:00 with price 3997.76 and signal 1, total assets : 0.2501400784439286, trade_pnl : 0, net_pnl : -115.6702725113148
Trade at 2018-12-01 04:00:00 with price 4019.25 and signal -1, total assets : 0, trade_pnl : 5.375510285760015, net_pnl : -110.29476222555479
Trade at 2018-12-01 04:30:00 with price 4044.52 and signal -1, total assets : -0.24724812833166854, trade_pnl : 0, net_pnl : -110.29476222555479
Trade at 2018-12-01 09:00:00 with price 4030.39 and signal 1, total assets : 0, trade_pnl : 3.493616053326491, net_pnl : -106.8011461722283
Trade at 2018-12-01 09:30:00 with price 4005.82 and signal 1, total assets : 0.24963677848730095, trade_pnl : 0, net_pnl : -106.8011461722283
Trade at 2018-12-01 11:00:00 with price 3995.6 and signal -1, total assets : 0, trade_pnl : -2.55128787614035, net_pnl : -109.35243404836865
Trade at 2018-12-01 11:30:00 with price 3994.0 and signal -1, total assets : -0.25037556334501754, trade_pnl : 0, net_pnl : -109.35243404836865
Trade at 2018-12-01 18:00:00 with price 4175.41 and signal 1, total assets : 0, trade_pnl : -45.42063094641958, net_pnl : -154.77306499478823
Trade at 2018-12-01 18:30:00 with price 4207.04 and signal 1, total assets : 0.23769681296113182, trade_pnl : 0, net_pnl : -154.77306499478823
Trade at 2018-12-01 21:30:00 with price 4283.44 and signal -1, total assets : 0, trade_pnl : 18.160036510230384, net_pnl : -136.61302848455784
Trade at 2018-12-01 22:00:00 with price 4276.15 and signal -1, total assets : -0.23385522023315367, trade_pnl : 0, net_pnl : -136.61302848455784
Trade at 2018-12-01 22:30:00 with price 4254.2 and signal 1, total assets : 0, trade_pnl : 5.133122084117758, net_pnl : -131.4799064004401
Trade at 2018-12-01 23:00:00 with price 4249.95 and signal -1, total assets : -0.23529688584571584, trade_pnl : 0, net_pnl : -131.4799064004401
Trade at 2018-12-02 00:00:00 with price 4245.08 and signal 1, total assets : 0, trade_pnl : 1.1458958340685967, net_pnl : -130.3340105663715
Trade at 2018-12-02 00:30:00 with price 4266.25 and signal 1, total assets : 0.23439789041898623, trade_pnl : 0, net_pnl : -130.3340105663715
Trade at 2018-12-02 04:30:00 with price 4190.61 and signal -1, total assets : 0, trade_pnl : -17.729856431292205, net_pnl : -148.0638669976637
Trade at 2018-12-02 05:00:00 with price 4190.02 and signal -1, total assets : -0.23866234528713465, trade_pnl : 0, net_pnl : -148.0638669976637
Trade at 2018-12-02 08:30:00 with price 4180.0 and signal 1, total assets : 0, trade_pnl : 2.3913966997771468, net_pnl : -145.67247029788655
Trade at 2018-12-02 09:00:00 with price 4200.02 and signal 1, total assets : 0.23809410431378897, trade_pnl : 0, net_pnl : -145.67247029788655
Trade at 2018-12-02 11:00:00 with price 4147.11 and signal -1, total assets : 0, trade_pnl : -12.597559059242712, net_pnl : -158.27002935712926
Trade at 2018-12-02 11:30:00 with price 4159.39 and signal 1, total assets : 0.24041986925967507, trade_pnl : 0, net_pnl : -158.27002935712926
Trade at 2018-12-02 12:30:00 with price 4196.03 and signal -1, total assets : 0, trade_pnl : 8.808984009674305, net_pnl : -149.46104534745496
Trade at 2018-12-02 13:00:00 with price 4179.93 and signal -1, total assets : -0.23923845614639477, trade_pnl : 0, net_pnl : -149.46104534745496
Trade at 2018-12-02 15:30:00 with price 4168.29 and signal 1, total assets : 0, trade_pnl : 2.784735629544116, net_pnl : -146.67630971791084
Trade at 2018-12-02 16:00:00 with price 4136.71 and signal 1, total assets : 0.24173799952135877, trade_pnl : 0, net_pnl : -146.67630971791084
Trade at 2018-12-02 16:30:00 with price 4146.61 and signal -1, total assets : 0, trade_pnl : 2.3932061952614276, net_pnl : -144.2831035226494
Trade at 2018-12-02 17:00:00 with price 4152.02 and signal 1, total assets : 0.24084662405287063, trade_pnl : 0, net_pnl : -144.2831035226494
Trade at 2018-12-02 18:00:00 with price 4166.81 and signal -1, total assets : 0, trade_pnl : 3.5621215697419757, net_pnl : -140.72098195290744
Trade at 2018-12-02 18:30:00 with price 4153.66 and signal -1, total assets : -0.24075152997597302, trade_pnl : 0, net_pnl : -140.72098195290744
Trade at 2018-12-02 22:30:00 with price 4151.26 and signal 1, total assets : 0, trade_pnl : 0.5778036719422062, net_pnl : -140.14317828096523
Trade at 2018-12-02 23:00:00 with price 4169.55 and signal -1, total assets : -0.23983403484788526, trade_pnl : 0, net_pnl : -140.14317828096523
Trade at 2018-12-02 23:30:00 with price 4154.77 and signal 1, total assets : 0, trade_pnl : 3.544747035051614, net_pnl : -136.59843124591362
Trade at 2018-12-03 00:00:00 with price 4162.22 and signal 1, total assets : 0.24025640163182146, trade_pnl : 0, net_pnl : -136.59843124591362
Trade at 2018-12-03 01:00:00 with price 4180.05 and signal -1, total assets : 0, trade_pnl : 4.2837716410953135, net_pnl : -132.3146596048183
Trade at 2018-12-03 01:30:00 with price 4172.81 and signal -1, total assets : -0.2396466649571871, trade_pnl : 0, net_pnl : -132.3146596048183
Trade at 2018-12-03 03:30:00 with price 4171.15 and signal 1, total assets : 0, trade_pnl : 0.39781346382915217, net_pnl : -131.91684614098915
Trade at 2018-12-03 04:00:00 with price 4179.73 and signal -1, total assets : -0.2392499037019138, trade_pnl : 0, net_pnl : -131.91684614098915
Trade at 2018-12-03 04:30:00 with price 4176.2 and signal 1, total assets : 0, trade_pnl : 0.8445521600676784, net_pnl : -131.07229398092147
Trade at 2018-12-03 05:00:00 with price 4161.01 and signal 1, total assets : 0.24032626693999773, trade_pnl : 0, net_pnl : -131.07229398092147
Trade at 2018-12-03 06:00:00 with price 4140.96 and signal -1, total assets : 0, trade_pnl : -4.818541652147019, net_pnl : -135.8908356330685
Trade at 2018-12-03 06:30:00 with price 4145.55 and signal 1, total assets : 0.24122251570961634, trade_pnl : 0, net_pnl : -135.8908356330685
Trade at 2018-12-03 10:00:00 with price 4039.98 and signal -1, total assets : 0, trade_pnl : -25.465860983464154, net_pnl : -161.35669661653264
Trade at 2018-12-03 10:30:00 with price 4031.9 and signal -1, total assets : -0.2480220243557628, trade_pnl : 0, net_pnl : -161.35669661653264
Trade at 2018-12-03 16:30:00 with price 4032.71 and signal 1, total assets : 0, trade_pnl : -0.2008978397282135, net_pnl : -161.55759445626086
Trade at 2018-12-03 17:00:00 with price 4027.77 and signal -1, total assets : -0.2482763414991422, trade_pnl : 0, net_pnl : -161.55759445626086
Trade at 2018-12-03 18:30:00 with price 4029.64 and signal 1, total assets : 0, trade_pnl : -0.4642767586034324, net_pnl : -162.0218712148643
Trade at 2018-12-03 19:00:00 with price 4029.55 and signal -1, total assets : -0.24816666873472223, trade_pnl : 0, net_pnl : -162.0218712148643
Trade at 2018-12-03 20:00:00 with price 3993.07 and signal 1, total assets : 0, trade_pnl : 9.05312007544262, net_pnl : -152.96875113942167
Trade at 2018-12-03 20:30:00 with price 3906.95 and signal 1, total assets : 0.25595413301936293, trade_pnl : 0, net_pnl : -152.96875113942167
Trade at 2018-12-03 23:00:00 with price 3898.9 and signal -1, total assets : 0, trade_pnl : -2.0604307708058514, net_pnl : -155.02918191022752
Trade at 2018-12-03 23:30:00 with price 3904.0 and signal -1, total assets : -0.25614754098360654, trade_pnl : 0, net_pnl : -155.02918191022752
Trade at 2018-12-04 08:00:00 with price 3890.63 and signal 1, total assets : 0, trade_pnl : 3.424692622950829, net_pnl : -151.6044892872767
Trade at 2018-12-04 08:30:00 with price 3865.75 and signal 1, total assets : 0.2586820151328979, trade_pnl : 0, net_pnl : -151.6044892872767
Trade at 2018-12-04 10:00:00 with price 3861.13 and signal -1, total assets : 0, trade_pnl : -1.1951109099138648, net_pnl : -152.79960019719056
Trade at 2018-12-04 10:30:00 with price 3859.13 and signal -1, total assets : -0.2591257615058316, trade_pnl : 0, net_pnl : -152.79960019719056
Trade at 2018-12-04 14:30:00 with price 3994.1 and signal 1, total assets : 0, trade_pnl : -34.974204030442024, net_pnl : -187.77380422763258
Trade at 2018-12-04 15:00:00 with price 4005.0 and signal -1, total assets : -0.24968789013732834, trade_pnl : 0, net_pnl : -187.77380422763258
Trade at 2018-12-04 15:30:00 with price 3976.25 and signal 1, total assets : 0, trade_pnl : 7.178526841448161, net_pnl : -180.59527738618442
Trade at 2018-12-04 16:00:00 with price 3979.01 and signal 1, total assets : 0.25131879537874996, trade_pnl : 0, net_pnl : -180.59527738618442
Trade at 2018-12-04 18:30:00 with price 4005.0 and signal -1, total assets : 0, trade_pnl : 6.531775491893541, net_pnl : -174.06350189429088
Trade at 2018-12-04 19:00:00 with price 3992.24 and signal -1, total assets : -0.2504859427288941, trade_pnl : 0, net_pnl : -174.06350189429088
Trade at 2018-12-04 21:30:00 with price 3980.0 and signal 1, total assets : 0, trade_pnl : 3.065947939001603, net_pnl : -170.99755395528928
Trade at 2018-12-04 22:00:00 with price 3989.0 and signal -1, total assets : -0.25068939583855604, trade_pnl : 0, net_pnl : -170.99755395528928
Trade at 2018-12-04 22:30:00 with price 3954.25 and signal 1, total assets : 0, trade_pnl : 8.711456505389833, net_pnl : -162.28609744989944
Trade at 2018-12-04 23:00:00 with price 3951.01 and signal 1, total assets : 0.25309984029400073, trade_pnl : 0, net_pnl : -162.28609744989944
Trade at 2018-12-05 00:00:00 with price 3960.04 and signal -1, total assets : 0, trade_pnl : 2.285491557854698, net_pnl : -160.00060589204475
Trade at 2018-12-05 00:30:00 with price 3964.71 and signal -1, total assets : -0.2522252573328188, trade_pnl : 0, net_pnl : -160.00060589204475
Trade at 2018-12-05 02:00:00 with price 3920.02 and signal 1, total assets : 0, trade_pnl : 11.271946750203597, net_pnl : -148.72865914184115
Trade at 2018-12-05 02:30:00 with price 3936.7 and signal -1, total assets : -0.25401986435339247, trade_pnl : 0, net_pnl : -148.72865914184115
Trade at 2018-12-05 06:30:00 with price 3923.03 and signal 1, total assets : 0, trade_pnl : 3.472451545710669, net_pnl : -145.25620759613048
Trade at 2018-12-05 07:00:00 with price 3929.89 and signal -1, total assets : -0.25446004850008525, trade_pnl : 0, net_pnl : -145.25620759613048
Trade at 2018-12-05 07:30:00 with price 3893.66 and signal 1, total assets : 0, trade_pnl : 9.219087557158105, net_pnl : -136.03712003897238
Trade at 2018-12-05 08:00:00 with price 3910.0 and signal -1, total assets : -0.2557544757033248, trade_pnl : 0, net_pnl : -136.03712003897238
Trade at 2018-12-05 08:30:00 with price 3892.88 and signal 1, total assets : 0, trade_pnl : 4.378516624040799, net_pnl : -131.65860341493158
Trade at 2018-12-05 09:00:00 with price 3886.87 and signal -1, total assets : -0.2572764203587977, trade_pnl : 0, net_pnl : -131.65860341493158
Trade at 2018-12-05 09:30:00 with price 3878.04 and signal 1, total assets : 0, trade_pnl : 2.2717507917681132, net_pnl : -129.38685262316346
Trade at 2018-12-05 10:00:00 with price 3880.48 and signal -1, total assets : -0.2577000783408238, trade_pnl : 0, net_pnl : -129.38685262316346
Trade at 2018-12-05 13:00:00 with price 3850.89 and signal 1, total assets : 0, trade_pnl : 7.625345318105019, net_pnl : -121.76150730505844
Trade at 2018-12-05 13:30:00 with price 3858.29 and signal -1, total assets : -0.2591821765600823, trade_pnl : 0, net_pnl : -121.76150730505844
Trade at 2018-12-05 19:30:00 with price 3868.01 and signal 1, total assets : 0, trade_pnl : -2.519250756163956, net_pnl : -124.2807580612224
Trade at 2018-12-05 20:00:00 with price 3864.78 and signal 1, total assets : 0.25874694031743073, trade_pnl : 0, net_pnl : -124.2807580612224
Trade at 2018-12-05 21:00:00 with price 3877.95 and signal -1, total assets : 0, trade_pnl : 3.407697203980433, net_pnl : -120.87306085724197
Trade at 2018-12-05 21:30:00 with price 3834.96 and signal 1, total assets : 0.2607589127396374, trade_pnl : 0, net_pnl : -120.87306085724197
Trade at 2018-12-05 23:00:00 with price 3786.17 and signal -1, total assets : 0, trade_pnl : -12.722427352567024, net_pnl : -133.595488209809
Trade at 2018-12-05 23:30:00 with price 3780.0 and signal 1, total assets : 0.26455026455026454, trade_pnl : 0, net_pnl : -133.595488209809
Trade at 2018-12-06 00:00:00 with price 3797.99 and signal -1, total assets : 0, trade_pnl : 4.7592592592591245, net_pnl : -128.83622895054987
Trade at 2018-12-06 00:30:00 with price 3784.75 and signal -1, total assets : -0.2642182442697668, trade_pnl : 0, net_pnl : -128.83622895054987
Trade at 2018-12-06 05:00:00 with price 3769.84 and signal 1, total assets : 0, trade_pnl : 3.939494022062263, net_pnl : -124.8967349284876
Trade at 2018-12-06 05:30:00 with price 3772.65 and signal -1, total assets : -0.2650656700197474, trade_pnl : 0, net_pnl : -124.8967349284876
Trade at 2018-12-06 13:00:00 with price 3859.33 and signal 1, total assets : 0, trade_pnl : -22.975892277311686, net_pnl : -147.8726272057993
Trade at 2018-12-06 13:30:00 with price 3864.4 and signal -1, total assets : -0.25877238381119966, trade_pnl : 0, net_pnl : -147.8726272057993
Trade at 2018-12-06 15:00:00 with price 3863.99 and signal 1, total assets : 0, trade_pnl : 0.10609667736264328, net_pnl : -147.76653052843665
Trade at 2018-12-06 15:30:00 with price 3823.99 and signal 1, total assets : 0.2615069600077406, trade_pnl : 0, net_pnl : -147.76653052843665
Trade at 2018-12-06 17:30:00 with price 3809.03 and signal -1, total assets : 0, trade_pnl : -3.9121441217157553, net_pnl : -151.6786746501524
Trade at 2018-12-06 18:00:00 with price 3771.41 and signal 1, total assets : 0.2651528208282844, trade_pnl : 0, net_pnl : -151.6786746501524
Trade at 2018-12-06 18:30:00 with price 3761.82 and signal -1, total assets : 0, trade_pnl : -2.5428155517431605, net_pnl : -154.22149020189556
Trade at 2018-12-06 19:00:00 with price 3728.81 and signal 1, total assets : 0.2681820741737981, trade_pnl : 0, net_pnl : -154.22149020189556
Trade at 2018-12-06 21:00:00 with price 3691.91 and signal -1, total assets : 0, trade_pnl : -9.89591853701313, net_pnl : -164.1174087389087
Trade at 2018-12-06 21:30:00 with price 3683.0 and signal -1, total assets : -0.27151778441487917, trade_pnl : 0, net_pnl : -164.1174087389087
Trade at 2018-12-06 22:30:00 with price 3638.83 and signal 1, total assets : 0, trade_pnl : 11.99294053760525, net_pnl : -152.12446820130344
Trade at 2018-12-06 23:00:00 with price 3668.37 and signal -1, total assets : -0.2726006373402901, trade_pnl : 0, net_pnl : -152.12446820130344
Trade at 2018-12-07 03:30:00 with price 3643.55 and signal 1, total assets : 0, trade_pnl : 6.7659478187858895, net_pnl : -145.35852038251755
Trade at 2018-12-07 04:00:00 with price 3640.12 and signal -1, total assets : -0.27471621814665453, trade_pnl : 0, net_pnl : -145.35852038251755
Trade at 2018-12-07 05:00:00 with price 3508.75 and signal 1, total assets : 0, trade_pnl : 36.08946957792591, net_pnl : -109.26905080459164
Trade at 2018-12-07 05:30:00 with price 3485.18 and signal 1, total assets : 0.2869292260371057, trade_pnl : 0, net_pnl : -109.26905080459164
Trade at 2018-12-07 07:30:00 with price 3404.9 and signal -1, total assets : 0, trade_pnl : -23.034678266258766, net_pnl : -132.3037290708504
Trade at 2018-12-07 08:00:00 with price 3382.41 and signal -1, total assets : -0.2956471864735499, trade_pnl : 0, net_pnl : -132.3037290708504
Trade at 2018-12-07 21:00:00 with price 3319.99 and signal 1, total assets : 0, trade_pnl : 18.45429737967902, net_pnl : -113.84943169117139
Trade at 2018-12-07 21:30:00 with price 3267.92 and signal 1, total assets : 0.30600504296310804, trade_pnl : 0, net_pnl : -113.84943169117139
Trade at 2018-12-07 23:30:00 with price 3258.61 and signal -1, total assets : 0, trade_pnl : -2.8489069499864854, net_pnl : -116.69833864115787
Trade at 2018-12-08 00:00:00 with price 3255.01 and signal -1, total assets : -0.3072187182220638, trade_pnl : 0, net_pnl : -116.69833864115787
Trade at 2018-12-08 03:30:00 with price 3423.0 and signal 1, total assets : 0, trade_pnl : -51.60967247412441, net_pnl : -168.30801111528228
Trade at 2018-12-08 04:00:00 with price 3411.6 and signal 1, total assets : 0.2931175987806308, trade_pnl : 0, net_pnl : -168.30801111528228
Trade at 2018-12-08 04:30:00 with price 3386.87 and signal -1, total assets : 0, trade_pnl : -7.248798217844978, net_pnl : -175.55680933312726
Trade at 2018-12-08 05:00:00 with price 3403.55 and signal -1, total assets : -0.29381087394044453, trade_pnl : 0, net_pnl : -175.55680933312726
Trade at 2018-12-08 08:30:00 with price 3431.69 and signal 1, total assets : 0, trade_pnl : -8.267837992684122, net_pnl : -183.82464732581138
Trade at 2018-12-08 09:00:00 with price 3449.7 and signal -1, total assets : -0.2898802794445894, trade_pnl : 0, net_pnl : -183.82464732581138
Trade at 2018-12-08 11:30:00 with price 3419.03 and signal 1, total assets : 0, trade_pnl : 8.890628170565492, net_pnl : -174.9340191552459
Trade at 2018-12-08 12:00:00 with price 3422.13 and signal 1, total assets : 0.2922156668507625, trade_pnl : 0, net_pnl : -174.9340191552459
Trade at 2018-12-08 12:30:00 with price 3436.62 and signal -1, total assets : 0, trade_pnl : 4.234205012667417, net_pnl : -170.69981414257848
Trade at 2018-12-08 13:00:00 with price 3428.78 and signal -1, total assets : -0.29164892469041465, trade_pnl : 0, net_pnl : -170.69981414257848
Trade at 2018-12-08 15:00:00 with price 3388.52 and signal 1, total assets : 0, trade_pnl : 11.741785708036218, net_pnl : -158.95802843454226
Trade at 2018-12-08 15:30:00 with price 3402.62 and signal -1, total assets : -0.29389117797461956, trade_pnl : 0, net_pnl : -158.95802843454226
Trade at 2018-12-08 19:00:00 with price 3322.99 and signal 1, total assets : 0, trade_pnl : 23.402554502119074, net_pnl : -135.55547393242318
Trade at 2018-12-08 19:30:00 with price 3328.01 and signal 1, total assets : 0.30047986634655544, trade_pnl : 0, net_pnl : -135.55547393242318
Trade at 2018-12-08 20:00:00 with price 3338.49 and signal -1, total assets : 0, trade_pnl : 3.1490289993117813, net_pnl : -132.4064449331114
Trade at 2018-12-08 20:30:00 with price 3376.84 and signal -1, total assets : -0.29613484796436906, trade_pnl : 0, net_pnl : -132.4064449331114
Trade at 2018-12-09 02:00:00 with price 3355.11 and signal 1, total assets : 0, trade_pnl : 6.43501024626562, net_pnl : -125.97143468684578
Trade at 2018-12-09 02:30:00 with price 3359.33 and signal 1, total assets : 0.2976784061107423, trade_pnl : 0, net_pnl : -125.97143468684578
Trade at 2018-12-09 04:00:00 with price 3472.52 and signal -1, total assets : 0, trade_pnl : 33.6942187876748, net_pnl : -92.27721589917098
Trade at 2018-12-09 04:30:00 with price 3420.4 and signal -1, total assets : -0.292363466261256, trade_pnl : 0, net_pnl : -92.27721589917098
Trade at 2018-12-09 06:30:00 with price 3425.63 and signal 1, total assets : 0, trade_pnl : -1.5290609285463006, net_pnl : -93.80627682771728
Trade at 2018-12-09 07:00:00 with price 3429.68 and signal -1, total assets : -0.2915723915933848, trade_pnl : 0, net_pnl : -93.80627682771728
Trade at 2018-12-09 10:00:00 with price 3422.77 and signal 1, total assets : 0, trade_pnl : 2.014765225910196, net_pnl : -91.79151160180709
Trade at 2018-12-09 10:30:00 with price 3416.67 and signal 1, total assets : 0.29268264128522803, trade_pnl : 0, net_pnl : -91.79151160180709
Trade at 2018-12-09 11:00:00 with price 3415.01 and signal -1, total assets : 0, trade_pnl : -0.48585318453331183, net_pnl : -92.2773647863404
Trade at 2018-12-09 11:30:00 with price 3406.26 and signal -1, total assets : -0.2935771197735933, trade_pnl : 0, net_pnl : -92.2773647863404
Trade at 2018-12-09 15:00:00 with price 3424.0 and signal 1, total assets : 0, trade_pnl : -5.208058104783504, net_pnl : -97.4854228911239
Trade at 2018-12-09 15:30:00 with price 3403.56 and signal -1, total assets : -0.2938100106946844, trade_pnl : 0, net_pnl : -97.4854228911239
Trade at 2018-12-10 00:00:00 with price 3585.0 and signal 1, total assets : 0, trade_pnl : -53.308888340443445, net_pnl : -150.79431123156735
Trade at 2018-12-10 00:30:00 with price 3561.5 and signal 1, total assets : 0.2807805699845571, trade_pnl : 0, net_pnl : -150.79431123156735
